feature,importance
cat__neighbourhood_cleansed_Holliswood,0.0
cat__property_type_Private room in barn,0.0
cat__neighbourhood_cleansed_Howland Hook,0.0
cat__property_type_Houseboat,0.0
cat__property_type_Floor,0.0
cat__property_type_Entire villa,0.0
cat__neighbourhood_cleansed_Huguenot,0.0
cat__neighbourhood_cleansed_Bayswater,0.0
cat__neighbourhood_cleansed_Belle Harbor,0.0
cat__neighbourhood_cleansed_Eastchester,0.0
cat__neighbourhood_cleansed_Belmont,0.0
cat__neighbourhood_cleansed_East Morrisania,0.0
cat__property_type_Entire home/apt,0.0
cat__neighbourhood_cleansed_Bergen Beach,0.0
cat__neighbourhood_cleansed_Jamaica Hills,0.0
cat__property_type_Private room in kezhan,0.0
cat__property_type_Private room in lighthouse,0.0
cat__neighbourhood_cleansed_Bay Terrace,0.0
cat__property_type_Shared room in bed and breakfast,0.0
num__host_acceptance_rate,0.0
num__host_total_listings_count,0.0
num__instant_bookable,0.0
cat__property_type_Tower,0.0
cat__property_type_Tiny home,0.0
cat__neighbourhood_cleansed_Fort Wadsworth,0.0
cat__property_type_Shared room in serviced apartment,0.0
cat__neighbourhood_cleansed_Gerritsen Beach,0.0
cat__property_type_Shared room in loft,0.0
cat__neighbourhood_cleansed_Fieldston,0.0
cat__property_type_Shared room in guesthouse,0.0
cat__property_type_Shared room in guest suite,0.0
cat__property_type_Shared room in condo,0.0
cat__property_type_Shared room in casa particular,0.0
cat__neighbourhood_cleansed_Graniteville,0.0
cat__property_type_Private room in ranch,0.0
cat__host_response_time_Unknown,0.0
cat__neighbourhood_cleansed_Great Kills,0.0
cat__property_type_Room in bed and breakfast,0.0
cat__neighbourhood_cleansed_Arden Heights,0.0
cat__property_type_Private room in villa,0.0
cat__property_type_Private room in vacation home,0.0
cat__neighbourhood_cleansed_Arrochar,0.0
cat__property_type_Private room in tower,0.0
cat__property_type_Private room in tiny home,0.0
cat__property_type_Private room in tent,0.0
cat__neighbourhood_cleansed_Emerson Hill,0.0
cat__neighbourhood_cleansed_Eltingville,0.0
cat__neighbourhood_cleansed_Grymes Hill,0.0
cat__property_type_Private room in religious building,0.0
cat__neighbourhood_cleansed_Kew Gardens Hills,0.0
cat__property_type_Entire cottage,0.0
cat__neighbourhood_cleansed_Lighthouse Hill,0.0
cat__neighbourhood_cleansed_Spuyten Duyvil,0.0
cat__neighbourhood_cleansed_Mount Eden,0.0
cat__neighbourhood_cleansed_Navy Yard,0.0
cat__neighbourhood_cleansed_Neponsit,0.0
cat__neighbourhood_cleansed_Tottenville,0.0
cat__neighbourhood_cleansed_New Brighton,0.0
cat__neighbourhood_cleansed_Todt Hill,0.0
cat__neighbourhood_cleansed_New Dorp,0.0
cat__neighbourhood_cleansed_New Dorp Beach,0.0
cat__neighbourhood_cleansed_New Springville,0.0
cat__neighbourhood_cleansed_Clason Point,0.0
